2024-01-01,33.5,15.4,49,19.7
2024-01-02,32.1,20.8,86,1.4
2024-01-03,35.9,30.2,59,3.5
2024-01-04,37.8,20.5,89,0.0
2024-01-05,35.8,25.6,67,0.0
2024-01-06,30.7,15.4,55,0.0
2024-01-07,27.4,18.6,73,15.5
2024-01-08,38.3,26.8,43,0.0
2024-01-09,32.6,24.4,79,0.0
2024-01-10,33.2,27.3,66,0.0
2024-01-11,31.9,16.6,70,15.4
2024-01-12,40.0,18.4,80,0.0
2024-01-13,32.8,25.5,49,1.5
2024-01-14,36.5,19.9,87,0.0
2024-01-15,31.0,16.3,54,0.0
2024-01-16,38.7,28.5,78,0.0
2024-01-17,38.8,22.9,84,0.0
2024-01-18,35.9,15.6,69,17.4
2024-01-19,29.7,23.5,77,10.8
2024-01-20,25.4,16.9,60,0.0
2024-01-21,31.0,22.3,78,0.0
2024-01-22,38.5,31.0,65,0.0
2024-01-23,35.9,19.4,89,0.0
2024-01-24,38.8,28.8,50,16.0
2024-01-25,38.6,29.9,81,0.0
2024-01-26,30.5,18.7,42,9.4
2024-01-27,40.0,16.8,63,15.0
2024-01-28,37.2,24.3,53,15.0
2024-01-29,29.0,22.7,74,0.0
2024-01-30,29.5,21.9,62,13.1
